SNO,INSTCODE,NAME OF THE INSTITUTION,TYPE,INST_REG,new_dist,PLACE,COED,AFFL.,ESTD,A_REG,branch_code,OC_BOYS,OC_GIRLS,SC_BOYS,SC_GIRLS,ST_BOYS,ST_GIRLS,BCA_BOYS,BCA_GIRLS,BCB_BOYS,BCB_GIRLS,BCC_BOYS,BCC_GIRLS,BCD_BOYS,BCD_GIRLS,BCE_BOYS,BCE_GIRLS,OC_EWS_BOYS,OC_EWS_GIRLS
1,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,Kakinada,GOLLAPROLU,COED,JNTUK,2008,AU,CIV,143031,143031,170697,170697,143031,143031,143031,143031,143031,143031,143031,143031,143031,143031,143031,143031,158522,140613
2,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,Kakinada,GOLLAPROLU,COED,JNTUK,2008,AU,CSE,132938,132938,170635,170635,173467,173467,153425,167840,167292,169169,132938,139146,134908,157283,144114,144114,149718,120842
3,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,Kakinada,GOLLAPROLU,COED,JNTUK,2008,AU,ECE,114459,114459,114459,114459,114459,114459,165041,165041,163503,163503,114459,114459,114459,146246,114459,114459,128288,136209
4,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,Kakinada,GOLLAPROLU,COED,JNTUK,2008,AU,EEE,169131,169163,169131,169163,173554,173554,169163,169163,169169,169169,167839,169246,169142,169163,169163,169163,121787,111594
5,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,Kakinada,GOLLAPROLU,COED,JNTUK,2008,AU,MEC,169131,169131,173540,173540,169131,169131,169163,169163,169169,169169,167055,169131,169142,169142,169163,169163,138175,140945
6,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2004,AU,CIV,135022,135022,170278,170278,135022,135022,157855,168890,163968,169074,135022,135022,158309,158309,149020,149020,140587,152251
7,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2004,AU,CSD,32732,32732,154857,154857,32732,32732,58877,100168,58989,62480,32732,50070,50728,50728,102898,110022,31344,31314
8,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2004,AU,CSE,21243,24445,75216,83765,154741,170439,30497,36221,30217,57612,29999,29999,39393,41500,87476,87476,22131,33068
9,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2004,AU,CSM,32886,32886,158684,172274,158482,158482,74568,114079,58755,62261,67951,67951,46531,47678,118292,127276,35523,34809
10,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2004,AU,ECE,45410,45410,172097,173161,45410,45410,88231,90409,62248,64467,51073,51073,53901,60809,89808,160708,48449,45562
11,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2004,AU,EEE,83253,83253,126921,126921,83253,83253,115279,115279,103434,107053,83253,97730,91256,91256,162817,162817,84595,84038
12,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2004,AU,INF,36819,36819,173373,173373,132828,132828,58294,58814,53032,53032,39386,39386,39375,55208,58778,70795,24003,29669
13,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2004,AU,MEC,143235,143235,159544,159544,160681,160681,159076,159076,161702,161702,143235,143235,163878,163878,143235,143235,142273,107682
14,ACPS,ADITYA COLLEGE OF PHARMACY,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2006,AU,PHD,129723,158505,129723,158505,129723,158505,129723,158505,129723,158505,129723,158505,129723,158505,129723,158505,105016,123837
15,ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,SF,AU,East Godavari,RAJAHMUNDRY,COED,AKNU,2016,AU,CIV,81264,81264,161074,161074,81264,134219,81264,100444,112694,113386,81264,81264,115763,115763,81264,81264,142420,104875
16,ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,SF,AU,East Godavari,RAJAHMUNDRY,COED,AKNU,2016,AU,CSE,33473,36656,51646,51646,45824,45824,67071,67071,49906,49906,33473,36656,43077,43077,69195,69195,31869,27937
17,ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,SF,AU,East Godavari,RAJAHMUNDRY,COED,AKNU,2016,AU,ECE,57994,57994,95697,95697,57994,125920,138858,138858,69204,69204,153779,153779,73269,73269,57994,151418,83253,82263
18,ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,SF,AU,East Godavari,RAJAHMUNDRY,COED,AKNU,2016,AU,EIE,122764,122764,122764,122764,122764,122764,132870,132870,122764,122764,122764,122764,162773,162773,122764,122764,148461,118189
19,ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,SF,AU,East Godavari,RAJAHMUNDRY,COED,AKNU,2016,AU,MEC,159272,159272,170988,170988,159272,159272,159272,159272,159272,159272,159272,162702,159272,159272,159272,159272,105238,107979
20,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,Konaseema,ODALAREVU,COED,JNTUK,1997,AU,AIM,60526,64090,126596,169838,61716,64090,101571,105912,77219,77219,60526,64090,76583,90531,118556,127469,54312,58624
21,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,Konaseema,ODALAREVU,COED,JNTUK,1997,AU,CAD,53821,53821,132718,170777,140421,163110,102743,102743,65743,65743,53821,141687,80091,80091,109902,124969,44486,51140
22,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,Konaseema,ODALAREVU,COED,JNTUK,1997,AU,CIV,146025,146025,173041,173041,146025,146025,165743,165743,168046,168046,146025,146025,156551,163226,146025,146025,100028,138864
23,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,Konaseema,ODALAREVU,COED,JNTUK,1997,AU,CSE,36109,43289,86740,86740,82950,82950,74277,123992,59596,60261,90119,90119,50615,68189,128614,128614,39208,30560
24,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,Konaseema,ODALAREVU,COED,JNTUK,1997,AU,CSM,60156,60156,170611,170611,171031,171031,127604,141003,80463,92176,149073,149073,90644,96476,117164,141715,61589,55571
25,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,Konaseema,ODALAREVU,COED,JNTUK,1997,AU,ECE,70172,75943,172720,172720,168648,168648,146667,149032,87719,101464,100444,100444,99297,99297,153483,161583,70601,71779
26,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,Konaseema,ODALAREVU,COED,JNTUK,1997,AU,EEE,99251,112851,99251,112851,99251,112851,128577,128577,123041,137118,99251,112851,126521,164276,128311,128311,98009,97244
27,BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,Konaseema,ODALAREVU,COED,JNTUK,1997,AU,MEC,161218,164340,161218,164788,161218,164340,164816,164816,161466,164340,161218,164340,161218,164340,161218,164340,167686,157796
28,BVCR,BVC COLLEGE OF ENGINEERING,PVT,AU,East Godavari,RAJAHMUNDRY,COED,JNTUK,2009,AU,CSE,79183,79183,161634,170679,81566,121640,140782,140782,102715,102715,91038,91038,147625,147625,130539,158211,125729,77229
29,BVCR,BVC COLLEGE OF ENGINEERING,PVT,AU,East Godavari,RAJAHMUNDRY,COED,JNTUK,2009,AU,CSM,100730,100730,112638,133605,100730,157484,165421,165421,147582,159892,100730,100730,159521,160896,158005,158005,120016,166327
30,BVCR,BVC COLLEGE OF ENGINEERING,PVT,AU,East Godavari,RAJAHMUNDRY,COED,JNTUK,2009,AU,ECE,124826,146799,151818,151818,156061,156061,168943,168943,164596,164596,124826,146799,124826,156144,152034,152034,119888,135322
31,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,Konaseema,AMALAPURAM,COED,JNTUK,2002,AU,AIM,60262,74289,170928,171313,61892,74289,160032,160032,100486,100486,94840,94840,104355,104355,156114,156114,78042,46931
32,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,Konaseema,AMALAPURAM,COED,JNTUK,2002,AU,CAD,65160,76908,153720,166906,155180,162959,109926,109926,65160,76908,65160,76908,138631,139514,119385,119385,70610,57474
33,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,Konaseema,AMALAPURAM,COED,JNTUK,2002,AU,CIV,129624,129624,129624,135555,129624,129624,152380,152380,150246,150246,139616,139616,152179,152179,153367,153367,155472,121259
34,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,Konaseema,AMALAPURAM,COED,JNTUK,2002,AU,CSE,54046,54046,100028,100028,131896,131896,162520,162520,54046,54046,54046,54046,57820,63535,104769,104769,41790,39030
35,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,Konaseema,AMALAPURAM,COED,JNTUK,2002,AU,ECE,64344,64344,166024,166024,65168,143692,158181,158181,81132,81132,96411,96411,124688,124688,165932,165932,77450,71885
36,BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,Konaseema,AMALAPURAM,COED,JNTUK,2002,AU,EEE,115672,115672,128026,128026,115672,115672,147264,147264,137882,156924,126731,126731,148416,148416,115672,115672,98029,82878
37,CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2005,AU,AID,113502,113502,165344,165344,171067,171067,170494,170494,148501,148501,113502,172110,168211,173240,113502,113502,142583,145670
38,CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2005,AU,AIM,147562,147562,162575,168545,147562,147562,147562,147562,158732,158732,147562,147562,147562,147562,147562,147562,128940,131531
39,CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2005,AU,CSE,64778,64778,173510,173510,64778,77841,129687,129687,141519,151504,64778,64778,89734,123663,141961,141961,120016,95359
40,CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2005,AU,ECE,144690,144690,144690,144690,144690,144868,144690,168261,158628,168313,144690,144690,164424,164424,144690,144690,133288,125300
41,GIET,GIET ENGINEERING COLLEGE,PVT,AU,East Godavari,RAJAHMUNDRY,COED,JNTUK,2005,AU,CSE,34562,63987,169709,172455,170863,170863,100215,115398,79658,79658,86734,86734,70800,88359,82632,116956,53610,85666
42,GIET,GIET ENGINEERING COLLEGE,PVT,AU,East Godavari,RAJAHMUNDRY,COED,JNTUK,2005,AU,ECE,57496,71382,160660,160660,74817,74817,131174,131174,104868,140943,57496,128003,81215,100327,148689,148689,90908,103403
43,GIET,GIET ENGINEERING COLLEGE,PVT,AU,East Godavari,RAJAHMUNDRY,COED,JNTUK,2005,AU,INF,70085,70085,170512,173334,71669,89752,108260,108584,85937,142572,70085,70085,86721,123226,123291,141240,58474,59333
44,IDEL,IDEAL INSTITUTE OF TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2009,AU,CSE,61034,61034,164183,173486,170710,172188,102103,118200,68440,68440,62677,62677,61034,73717,101464,101464,64711,60572
45,IDEL,IDEAL INSTITUTE OF TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2009,AU,CSM,79091,79091,79091,79091,79091,79091,82867,134198,89234,92729,79091,79091,100900,100900,79091,79091,74679,73561
46,IDEL,IDEAL INSTITUTE OF TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2009,AU,ECE,74289,82359,170854,170854,75636,82359,124940,152025,146907,146907,74289,82359,103977,103977,138362,138362,117902,78302
47,IDEL,IDEAL INSTITUTE OF TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2009,AU,MEC,151937,151937,151937,151937,151937,151937,151937,151937,151937,151937,151937,151937,151937,151937,151937,151937,125961,113974
48,ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,PVT,AU,East Godavari,RAJAHMUNDRY,GIRLS,JNTUK,2010,AU,AGR,54389,164724,81487,165966,58142,164724,70069,164724,64284,164724,65963,164724,66061,164724,57328,164724,71569,134025
49,ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,PVT,AU,East Godavari,RAJAHMUNDRY,GIRLS,JNTUK,2010,AU,AIM,62501,135322,73150,158411,72685,155640,77161,135322,76029,163189,64095,84796,71014,160496,67873,137373,77160,145929
50,ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,PVT,AU,East Godavari,RAJAHMUNDRY,GIRLS,JNTUK,2010,AU,CAI,62323,114832,74879,114832,70411,114832,79180,168643,75678,160212,66540,138712,74260,120242,67308,148555,71897,101015
51,ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,PVT,AU,East Godavari,RAJAHMUNDRY,GIRLS,JNTUK,2010,AU,CSE,85449,105949,148246,164747,126541,172141,142578,154437,105958,112567,92898,105949,140308,113050,113013,149048,103079,71461
52,ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,PVT,AU,East Godavari,RAJAHMUNDRY,GIRLS,JNTUK,2010,AU,ECE,77098,106791,152759,148383,99858,108281,139922,145026,122613,168912,122551,157241,126282,142953,149543,108426,125221,152868
53,JNKFSF,SCHOOL OF FOOD TECHNOLOGY JNTUK KAKINADA-SELF FINANCE,SF,AU,Kakinada,KAKINADA,COED,JNTUK,2020,AU,FDE,155967,167604,169333,171665,172376,172376,155967,167604,155967,167604,155967,167604,155967,167604,155967,167604,66445,93129
54,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,AU,Kakinada,KAKINADA,COED,JNTUK,1946,AU,CIV,21143,36558,45101,87540,40092,40092,21143,36558,38531,55848,21143,36558,22515,36558,55182,58169,58856,26780
55,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,AU,Kakinada,KAKINADA,COED,JNTUK,1946,AU,CSE,3213,3642,3445,3642,11647,11647,3213,3642,3213,3642,3213,4748,3213,3642,3213,3642,3696,4604
56,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,AU,Kakinada,KAKINADA,COED,JNTUK,1946,AU,ECE,5472,5554,5876,8644,17812,77489,5472,6294,6307,6307,5472,5554,5472,5554,5472,5554,5532,12028
57,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,AU,Kakinada,KAKINADA,COED,JNTUK,1946,AU,EEE,14652,16490,28296,28296,23367,23367,14652,37097,30691,30691,14652,16490,25059,45381,41565,41565,23822,13622
58,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,AU,Kakinada,KAKINADA,COED,JNTUK,1946,AU,MEC,12686,23761,54297,54297,41542,60097,12686,35098,22847,57856,46614,46614,16188,29583,31973,113355,65645,37405
59,JNTKSF,JNTUK COLLEGE OF ENGG. KAKINADA-SELF FINANCE,SF,AU,Kakinada,KAKINADA,COED,JNTUK,1946,AU,CHE,48270,52396,171861,171861,159466,159466,110802,166242,135299,135299,48270,52396,66272,102614,118967,140970,104696,136774
60,JNTKSF,JNTUK COLLEGE OF ENGG. KAKINADA-SELF FINANCE,SF,AU,Kakinada,KAKINADA,COED,JNTUK,1946,AU,PEE,166686,166686,172361,172361,166686,166686,166686,166686,166686,166686,166686,166686,166686,166686,166686,166686,63535,165354
61,KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2009,AU,AID,156805,156805,165784,165784,156891,156891,166375,166375,168146,168146,156805,156805,159056,163615,156805,156805,148484,145200
62,KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2009,AU,CAI,157986,157986,165902,165902,157986,157986,165034,165034,157986,157986,157986,157986,157986,157986,157986,157986,136617,139912
63,KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2009,AU,CSC,117994,146154,166906,166906,140153,159402,160931,160931,166314,166314,117994,151180,117994,146154,165421,165421,166371,114459
64,KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2009,AU,CSD,163199,163199,168509,169074,163199,163199,163199,163622,163199,163199,163199,163199,163199,163199,163199,163199,144995,124327
65,KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2009,AU,CSM,145962,157062,160973,160973,145962,157062,166490,166490,165625,165625,145962,157062,153094,165593,145962,157062,138356,143751
66,KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2001,AU,AID,99222,135872,173198,173198,103701,135872,129270,165686,161113,163731,118312,139890,137221,160108,149137,166248,139616,146580
67,KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2001,AU,CAI,114603,154332,171637,172524,172449,172449,148058,154332,160174,160174,131590,154332,139146,154332,156551,167435,151770,157310
68,KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2001,AU,CSC,87073,124220,171060,171060,155380,155380,115687,156468,107252,124220,87073,124220,160835,161392,161819,161819,80473,106881
69,KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2001,AU,CSD,136288,161965,136288,161965,169474,169474,166989,166989,158070,161965,136288,161965,163629,164101,167164,167164,119266,105352
70,KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2001,AU,CSM,119210,140868,166057,166057,119210,140868,162484,162484,153330,164774,119210,140868,167875,167875,167068,167068,118017,104517
71,KIEW,KAKINADA INST OF ENGG AND TECHNOLOGY FOR WOMEN,PVT,AU,Kakinada,KAKINADA,GIRLS,JNTUK,2008,AU,AID,126324,145747,163056,171254,155087,145747,157191,158694,157338,167955,140168,145747,157581,165143,149037,154741,145713,136260
72,KIEW,KAKINADA INST OF ENGG AND TECHNOLOGY FOR WOMEN,PVT,AU,Kakinada,KAKINADA,GIRLS,JNTUK,2008,AU,CAI,134279,168209,162270,168661,152467,168209,159183,168209,159360,168209,148333,156964,145010,168511,155311,168209,143451,159272
73,KIEW,KAKINADA INST OF ENGG AND TECHNOLOGY FOR WOMEN,PVT,AU,Kakinada,KAKINADA,GIRLS,JNTUK,2008,AU,CSM,109007,161583,172404,164982,156265,161583,144291,161583,145425,168370,113886,161583,139474,164982,155037,161583,142145,163814
74,KISR,KAKINADA INSTITUTE OF TECHNOLOGY SCIENCES,PVT,AU,Konaseema,RAMACHANDRAPURAM,COED,JNTUK,2008,AU,AIM,169131,169163,173540,173558,173554,173554,169163,169163,169131,169163,166603,165936,169142,169163,169163,169163,113186,119247
75,KISR,KAKINADA INSTITUTE OF TECHNOLOGY SCIENCES,PVT,AU,Konaseema,RAMACHANDRAPURAM,COED,JNTUK,2008,AU,CSE,101712,101712,169326,173215,172353,172353,134151,166833,162132,162132,101712,101712,135734,138764,155555,155555,78746,129148
76,KISR,KAKINADA INSTITUTE OF TECHNOLOGY SCIENCES,PVT,AU,Konaseema,RAMACHANDRAPURAM,COED,JNTUK,2008,AU,ECE,87832,105217,128960,128960,87832,105217,128612,128612,87832,167620,87832,105217,139784,139784,87832,105217,140789,151458
77,KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,PVT,AU,Kakinada,DIVILI,COED,JNTUK,2008,AU,CIV,72809,138545,173551,173551,173088,173277,72809,138545,72809,138545,72809,138545,72809,138545,102443,138545,116881,106917
78,KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,PVT,AU,Kakinada,DIVILI,COED,JNTUK,2008,AU,CSE,53042,58740,168196,168196,80332,80332,123954,123954,116353,116353,53042,58740,75171,109588,124724,124724,141410,126191
79,KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,PVT,AU,Kakinada,DIVILI,COED,JNTUK,2008,AU,ECE,82065,148223,168616,168616,82065,155533,153793,153793,167653,167653,82065,148223,155731,155731,82065,148223,138345,156375
80,KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,PVT,AU,Kakinada,DIVILI,COED,JNTUK,2008,AU,MEC,142170,149954,170826,170826,142170,172833,142170,149954,142170,149954,142170,149954,142170,149954,142170,149954,112004,119620
81,LENO,LENORA COLLEGE OF ENGINEERING,PVT,AU,Alluri Sitharama Raju,RAMPACHODAVARAM,COED,JNTUK,2000,AU,CIV,102805,102805,146025,146025,102805,102805,102805,102805,102805,102805,102805,102805,102805,102805,102805,102805,102430,101993
82,LENO,LENORA COLLEGE OF ENGINEERING,PVT,AU,Alluri Sitharama Raju,RAMPACHODAVARAM,COED,JNTUK,2000,AU,CSE,83871,83871,171077,172269,83871,83871,140130,140130,161802,161802,83871,83871,142331,165249,164430,164430,104002,133801
83,LENO,LENORA COLLEGE OF ENGINEERING,PVT,AU,Alluri Sitharama Raju,RAMPACHODAVARAM,COED,JNTUK,2000,AU,ECE,153779,153779,153779,153779,162658,162658,153779,153779,153779,153779,153779,153779,153779,153779,153779,153779,129587,104286
84,LENO,LENORA COLLEGE OF ENGINEERING,PVT,AU,Alluri Sitharama Raju,RAMPACHODAVARAM,COED,JNTUK,2000,AU,EEE,76611,86590,76611,86590,76611,86590,131174,131174,76611,86590,76611,86590,76611,86590,76611,86590,120734,89857
85,LENO,LENORA COLLEGE OF ENGINEERING,PVT,AU,Alluri Sitharama Raju,RAMPACHODAVARAM,COED,JNTUK,2000,AU,MEC,167340,167340,167340,167340,167340,167340,167340,167340,167340,167340,167340,167340,167340,167340,167340,167340,109157,86664
86,PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2001,AU,CAI,27913,29152,172768,172768,81109,81109,84400,84400,55108,75577,27913,61328,41225,41225,123928,123928,29292,28052
87,PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2001,AU,CIV,155945,156584,173282,173282,155945,156584,155945,156584,155945,156584,155945,156584,166955,167348,167396,167396,107167,98918
88,PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2001,AU,CSD,22807,23835,113429,171847,142420,171946,63505,63840,39698,47264,22807,23835,33965,36629,104335,104335,22993,25939
89,PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2001,AU,CSE,10942,13509,41033,41033,144134,170889,19363,33334,18403,18403,38389,41400,24357,24357,28055,94357,14283,14946
90,PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2001,AU,CSM,21941,23578,105925,170854,142631,147494,55485,55485,36476,36476,57013,57013,33358,33358,72275,135265,25399,24263
91,PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2001,AU,ECE,32934,32934,149423,170843,171737,172800,71567,79137,67618,77819,75307,75307,61509,61509,158285,164536,36285,41390
92,PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2001,AU,EEE,85317,85317,172669,172669,86291,86291,119499,160158,114712,116056,85317,85317,86340,94775,123858,137183,85603,49672
93,PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2001,AU,INF,19838,33045,114459,114459,120902,170657,48101,129328,43906,43906,19838,151780,22623,44336,124969,124969,27172,26468
94,PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2001,AU,MEC,129338,143817,171988,171988,129338,143817,168396,168396,168478,168478,129338,143817,166906,166906,147383,147383,126248,120221
95,PREC,DR PAUL RAJS ENGINEERING COLLEGE,PVT,AU,Alluri Sitharama Raju,YETAPAKA,COED,JNTUK,1997,AU,CIV,65864,65864,144540,144540,65864,65864,65864,65864,65864,65864,65864,65864,65864,65864,65864,65864,91785,89972
96,PREC,DR PAUL RAJS ENGINEERING COLLEGE,PVT,AU,Alluri Sitharama Raju,YETAPAKA,COED,JNTUK,1997,AU,CSE,87649,104987,131002,145882,95086,131002,163578,163578,124542,126411,87649,104987,134064,148134,121475,121475,150105,135217
97,PREC,DR PAUL RAJS ENGINEERING COLLEGE,PVT,AU,Alluri Sitharama Raju,YETAPAKA,COED,JNTUK,1997,AU,ECE,173082,173082,173082,173517,173082,173082,173082,173082,173082,173082,173082,173082,173082,173082,173082,173082,132493,106432
98,PREC,DR PAUL RAJS ENGINEERING COLLEGE,PVT,AU,Alluri Sitharama Raju,YETAPAKA,COED,JNTUK,1997,AU,EEE,166876,166876,166876,166876,166876,169857,166876,166876,166876,166876,166876,166876,166876,166876,166876,166876,145083,102686
99,PREC,DR PAUL RAJS ENGINEERING COLLEGE,PVT,AU,Alluri Sitharama Raju,YETAPAKA,COED,JNTUK,1997,AU,MEC,120063,167620,120063,167620,169286,169286,120063,167620,120063,167620,120063,167620,120063,167620,120063,167620,124148,132993
100,PYDE,PYDAH COLL OF ENGINEERING,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2009,AU,CAI,123130,123130,146571,153605,149570,170859,163030,167079,164603,164603,163266,163266,151594,151594,151304,151304,129872,135749
101,PYDE,PYDAH COLL OF ENGINEERING,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2009,AU,CSE,51561,51561,172178,172178,102898,105374,168288,168288,142753,157834,51561,153089,145810,145810,119888,119888,166242,126692
102,PYDE,PYDAH COLL OF ENGINEERING,PVT,AU,Kakinada,KAKINADA,COED,JNTUK,2009,AU,ECE,169131,169131,169131,169131,169131,169131,169163,169163,169131,169131,160043,169131,169131,169131,169163,169163,135523,101906
103,RIET,RAJAMAHENDRI INST OF ENGG AND TECHNOLOGY,PVT,AU,East Godavari,RAJAHMUNDRY,COED,JNTUK,2008,AU,CSD,127673,162592,127673,162592,127673,162592,153216,162592,154266,162592,137940,162592,164444,164444,149197,162592,97756,125696
104,RIET,RAJAMAHENDRI INST OF ENGG AND TECHNOLOGY,PVT,AU,East Godavari,RAJAHMUNDRY,COED,JNTUK,2008,AU,CSE,80354,84250,170679,170679,128477,128477,153365,160130,119888,142079,106874,106874,145036,145036,110233,116096,83765,138045
105,RIET,RAJAMAHENDRI INST OF ENGG AND TECHNOLOGY,PVT,AU,East Godavari,RAJAHMUNDRY,COED,JNTUK,2008,AU,CSM,126580,126580,159825,159825,145462,145462,147675,147675,168046,168046,126580,126580,157260,167168,149348,149348,165372,152380
